"","filename","correct.binomial","global_region","drop"
"1","0732.jpg","Ahaetulla anomala","Asia","n"
"2","0183.jpg","Bungarus","Asia","n"
"3","0579.jpg","Chrysopelea ornata","Asia","y"
"4","0325.jpg","Cylindrophis burmanus","Asia","n"
"5","0756.jpg","Eryx whitakeri","Asia","n"
"6","1019.jpg","Homalopsis mereljcoxi","Asia","y"
"7","0633.jpg","Imantodes lentiferus","South America","n"
"8","0232.jpg","Lampropeltis gentilis","North America","n"
"9","0497.jpg","Laticauda laticaudata","Asia","n"
"10","0279.jpg","Lycodon capucinus","Asia","n"
"11","0271.jpg","Lycodon capucinus","Asia","n"
"12","0273.jpg","Lycodon capucinus","Asia","n"
"13","0272.jpg","Lycodon striatus","Asia","n"
"14","0404.jpg","Natrix natrix","Europe","n"
"15","0850.jpg","Natrix natrix","Europe","n"
"16","0116.jpg","Nerodia erythrogaster","North America","n"
"17","0460.jpg","Pseudaspis cana","Africa","y"
"18","0912.jpg","Pseudonaja","Australasia/Oceania","n"
"19","0580.jpg","Ptyas mucosa","Asia","n"
"20","0351.jpg","Python bivittatus","Asia","n"
"21","0355.jpg","Python bivittatus","Asia","n"
"22","0357.jpg","Python bivittatus","North America","n"
"23","0359.jpg","Python bivittatus","Asia","n"
"24","0783.jpg","Sistrurus tergeminus","North America","n"
"25","0786.jpg","Sistrurus tergeminus","North America","n"
"26","0788.jpg","Sistrurus tergeminus","North America","n"
"27","0789.jpg","Sistrurus tergeminus","North America","n"
"28","0796.jpg","Thamnophis sirtalis","North America","n"
"29","0903.jpg","Trimeresurus","Asia","n"
"30","0901.jpg","Trimeresurus vogeli","Asia","n"
"31","0574.jpg","Xenochrophis flavipunctatus","Asia","n"
"32","0575.jpg","Xenochrophis flavipunctatus","Asia","n"
"33","0126.jpg","Heterodon platirhinos","North America","n"
"34","0137.jpg","Lampropeltis calligaster","North America","n"
"35","0142.jpg","Philothamnus semivariegatus","Africa","n"
"36","0144.jpg","Philothamnus semivariegatus","Africa","n"
"37","0162.jpg","Daboia russelii","Asia","n"
"38","0543.jpg","Dendroaspis angusticeps","Africa","y"
"39","0868.jpg","Crotalus scutulatus","North America","n"
"40","0837.jpg","Pantherophis guttatus","North America","y"
"41","0001.jpg","Storeria dekayi","North America","n"
"42","0002.jpg","Storeria dekayi","North America","n"
"43","0003.jpg","Storeria dekayi","North America","n"
"44","0004.jpg","Storeria dekayi","North America","n"
"45","0005.jpg","Storeria dekayi","North America","n"
"46","0006.jpg","Storeria dekayi","North America","n"
"47","0007.jpg","Storeria dekayi","North America","n"
"48","0008.jpg","Storeria dekayi","North America","n"
"49","0009.jpg","Storeria dekayi","North America","n"
"50","0010.jpg","Storeria dekayi","North America","n"
"51","0011.jpg","Storeria occipitomaculata","North America","n"
"52","0012.jpg","Storeria occipitomaculata","North America","n"
"53","0013.jpg","Storeria occipitomaculata","North America","n"
"54","0014.jpg","Storeria occipitomaculata","North America","n"
"55","0015.jpg","Storeria occipitomaculata","North America","n"
"56","0016.jpg","Storeria occipitomaculata","North America","n"
"57","0017.jpg","Storeria occipitomaculata","North America","n"
"58","0018.jpg","Storeria occipitomaculata","North America","n"
"59","0019.jpg","Storeria occipitomaculata","North America","n"
"60","0020.jpg","Storeria occipitomaculata","North America","n"
"61","0021.jpg","Vipera berus","Europe","n"
"62","0022.jpg","Vipera berus","Europe","n"
"63","0023.jpg","Vipera berus","Europe","n"
"64","0024.jpg","Vipera berus","Europe","n"
"65","0025.jpg","Vipera berus","Europe","n"
"66","0026.jpg","Vipera berus","Europe","n"
"67","0027.jpg","Vipera berus","Europe","n"
"68","0028.jpg","Vipera berus","Europe","n"
"69","0029.jpg","Vipera berus","Europe","n"
"70","0030.jpg","Vipera berus","Europe","n"
"71","0031.jpg","Vipera aspis","Europe","n"
"72","0032.jpg","Vipera aspis","Europe","n"
"73","0033.jpg","Vipera aspis","Europe","n"
"74","0034.jpg","Vipera aspis","Europe","n"
"75","0035.jpg","Vipera aspis","Europe","n"
"76","0036.jpg","Vipera aspis","Europe","n"
"77","0037.jpg","Vipera aspis","Europe","n"
"78","0038.jpg","Vipera aspis","Europe","n"
"79","0039.jpg","Vipera aspis","Europe","n"
"80","0040.jpg","Vipera aspis","Europe","n"
"81","0041.jpg","Bitis arietans","Africa","n"
"82","0042.jpg","Bitis arietans","Africa","n"
"83","0043.jpg","Bitis arietans","Africa","n"
"84","0044.jpg","Bitis arietans","Africa","n"
"85","0045.jpg","Bitis arietans","Africa","n"
"86","0046.jpg","Bitis arietans","Africa","n"
"87","0047.jpg","Bitis arietans","Africa","n"
"88","0048.jpg","Bitis arietans","Africa","n"
"89","0049.jpg","Bitis arietans","Africa","n"
"90","0050.jpg","Bitis arietans","Africa","n"
"91","0051.jpg","Dispholidus typus","Africa","n"
"92","0052.jpg","Dispholidus typus","Africa","n"
"93","0053.jpg","Dispholidus typus","Africa","n"
"94","0054.jpg","Dispholidus typus","Africa","n"
"95","0055.jpg","Dispholidus typus","Africa","n"
"96","0056.jpg","Dispholidus typus","Africa","n"
"97","0057.jpg","Dispholidus typus","Africa","n"
"98","0058.jpg","Dispholidus typus","Africa","n"
"99","0059.jpg","Dispholidus typus","Africa","n"
"100","0060.jpg","Dispholidus typus","Africa","n"
"101","0061.jpg","Vermicella annulata","Australasia/Oceania","n"
"102","0062.jpg","Vermicella annulata","Australasia/Oceania","n"
"103","0063.jpg","Vermicella annulata","Australasia/Oceania","n"
"104","0064.jpg","Vermicella annulata","Australasia/Oceania","n"
"105","0065.jpg","Vermicella annulata","Australasia/Oceania","n"
"106","0066.jpg","Vermicella annulata","Australasia/Oceania","n"
"107","0067.jpg","Vermicella annulata","Australasia/Oceania","n"
"108","0068.jpg","Vermicella annulata","Australasia/Oceania","n"
"109","0069.jpg","Vermicella annulata","Australasia/Oceania","n"
"110","0070.jpg","Vermicella annulata","Australasia/Oceania","y"
"111","0071.jpg","Dendroaspis polylepis","Africa","n"
"112","0072.jpg","Dendroaspis polylepis","Africa","n"
"113","0073.jpg","Dendroaspis polylepis","Africa","n"
"114","0074.jpg","Dendroaspis polylepis","Africa","n"
"115","0075.jpg","Dendroaspis polylepis","Africa","n"
"116","0076.jpg","Dendroaspis polylepis","Africa","n"
"117","0077.jpg","Dendroaspis polylepis","Africa","n"
"118","0078.jpg","Dendroaspis polylepis","Africa","n"
"119","0079.jpg","Dendroaspis polylepis","Africa","n"
"120","0080.jpg","Dendroaspis polylepis","Africa","n"
"121","0081.jpg","Agkistrodon contortrix","North America","n"
"122","0082.jpg","Agkistrodon contortrix","North America","n"
"123","0083.jpg","Agkistrodon contortrix","North America","n"
"124","0084.jpg","Agkistrodon contortrix","North America","n"
"125","0085.jpg","Agkistrodon contortrix","North America","n"
"126","0086.jpg","Agkistrodon contortrix","North America","n"
"127","0087.jpg","Agkistrodon contortrix","North America","n"
"128","0088.jpg","Agkistrodon contortrix","North America","n"
"129","0089.jpg","Agkistrodon contortrix","North America","n"
"130","0090.jpg","Agkistrodon contortrix","North America","n"
"131","0091.jpg","Agkistrodon piscivorus","North America","n"
"132","0092.jpg","Agkistrodon piscivorus","North America","n"
"133","0093.jpg","Agkistrodon piscivorus","North America","n"
"134","0094.jpg","Agkistrodon piscivorus","North America","n"
"135","0095.jpg","Agkistrodon piscivorus","North America","n"
"136","0096.jpg","Agkistrodon piscivorus","North America","n"
"137","0097.jpg","Agkistrodon piscivorus","North America","n"
"138","0098.jpg","Agkistrodon piscivorus","North America","n"
"139","0099.jpg","Agkistrodon piscivorus","North America","n"
"140","0100.jpg","Agkistrodon piscivorus","North America","n"
"141","0101.jpg","Nerodia sipedon","North America","n"
"142","0102.jpg","Nerodia sipedon","North America","n"
"143","0103.jpg","Nerodia sipedon","North America","n"
"144","0104.jpg","Nerodia sipedon","North America","n"
"145","0105.jpg","Nerodia sipedon","North America","n"
"146","0106.jpg","Nerodia sipedon","North America","n"
"147","0107.jpg","Nerodia sipedon","North America","n"
"148","0108.jpg","Nerodia sipedon","North America","n"
"149","0109.jpg","Nerodia sipedon","North America","n"
"150","0110.jpg","Nerodia sipedon","North America","n"
"151","0111.jpg","Nerodia fasciata","North America","n"
"152","0112.jpg","Nerodia fasciata","North America","n"
"153","0113.jpg","Nerodia fasciata","North America","n"
"154","0114.jpg","Nerodia fasciata","North America","n"
"155","0115.jpg","Nerodia fasciata","North America","n"
"156","0117.jpg","Nerodia fasciata","North America","n"
"157","0118.jpg","Nerodia fasciata","North America","n"
"158","0119.jpg","Nerodia fasciata","North America","n"
"159","0120.jpg","Nerodia fasciata","North America","n"
"160","0121.jpg","Heterodon platirhinos","North America","n"
"161","0122.jpg","Heterodon platirhinos","North America","n"
"162","0123.jpg","Heterodon platirhinos","North America","n"
"163","0124.jpg","Heterodon platirhinos","North America","n"
"164","0125.jpg","Heterodon platirhinos","North America","n"
"165","0127.jpg","Heterodon platirhinos","North America","n"
"166","0128.jpg","Heterodon platirhinos","North America","n"
"167","0129.jpg","Heterodon platirhinos","North America","n"
"168","0130.jpg","Heterodon platirhinos","North America","n"
"169","0131.jpg","Lampropeltis calligaster","North America","n"
"170","0132.jpg","Lampropeltis calligaster","North America","n"
"171","0133.jpg","Lampropeltis calligaster","North America","n"
"172","0134.jpg","Lampropeltis calligaster","North America","n"
"173","0135.jpg","Lampropeltis calligaster","North America","n"
"174","0136.jpg","Lampropeltis calligaster","North America","n"
"175","0138.jpg","Lampropeltis calligaster","North America","n"
"176","0139.jpg","Lampropeltis calligaster","North America","n"
"177","0140.jpg","Lampropeltis calligaster","North America","n"
"178","0141.jpg","Philothamnus semivariegatus","Africa","n"
"179","0143.jpg","Philothamnus semivariegatus","Africa","n"
"180","0145.jpg","Philothamnus semivariegatus","Africa","n"
"181","0146.jpg","Philothamnus semivariegatus","Africa","n"
"182","0147.jpg","Philothamnus semivariegatus","Africa","n"
"183","0148.jpg","Philothamnus semivariegatus","Africa","n"
"184","0149.jpg","Philothamnus semivariegatus","Africa","n"
"185","0150.jpg","Philothamnus semivariegatus","Africa","n"
"186","0151.jpg","Echis ocellatus","Africa","n"
"187","0152.jpg","Echis ocellatus","Africa","n"
"188","0153.jpg","Echis ocellatus","Africa","n"
"189","0154.jpg","Echis ocellatus","Africa","n"
"190","0155.jpg","Echis ocellatus","Africa","n"
"191","0156.jpg","Echis ocellatus","Africa","n"
"192","0157.jpg","Echis ocellatus","Africa","n"
"193","0158.jpg","Echis ocellatus","Africa","n"
"194","0159.jpg","Echis ocellatus","Africa","n"
"195","0160.jpg","Echis ocellatus","Africa","n"
"196","0161.jpg","Daboia russelii","Asia","n"
"197","0163.jpg","Daboia russelii","Asia","n"
"198","0164.jpg","Daboia russelii","Asia","n"
"199","0165.jpg","Daboia russelii","Asia","n"
"200","0166.jpg","Daboia russelii","Asia","n"
"201","0167.jpg","Daboia russelii","Asia","n"
"202","0168.jpg","Daboia russelii","Asia","n"
